PARAMETERS
Security level: 128 bits
Varying values of A for each curve
Co-factor is 4
Twist-secure curve
-------------------------
1227 not Montgomery
1229 not Montgomery
1226 not Montgomery
1231 not Montgomery
1228 not Montgomery
1232 not Montgomery
1233 not Montgomery
1234 small_factor 8
1236 not Montgomery
1237 not Montgomery
1238 not Montgomery
1239 not Montgomery
1230 small_factor 8
1240 small_factor 8
1241 small_factor 3
1242 small_factor 3
1243 not Montgomery
1244 not Montgomery
1245 not Montgomery
1246 not Montgomery
1247 not Montgomery
1248 not Montgomery
1249 not Montgomery
1251 not Montgomery
1250 not Montgomery
1252 not Montgomery
1254 not Montgomery
1255 not Montgomery
1253 not Montgomery
1256 not Montgomery
1257 not Montgomery
1258 not Montgomery
1259 small_factor 8
1260 not Montgomery
1261 not Montgomery
1262 small_factor 8
1263 small_factor 8
1264 small_factor 8
1265 not Montgomery
1266 not Montgomery
1267 small_factor 8
1268 not Montgomery
1270 not Montgomery
1271 small_factor 8
1269 small_factor 8
1272 small_factor 3
1273 not Montgomery
1274 not Montgomery
1172 small_factor 17
1277 not Montgomery
1278 not Montgomery
1279 not Montgomery
1280 not Montgomery
1275 not Montgomery
1281 small_factor 3
1283 small_factor 8
1282 small_factor 3
1284 not Montgomery
1285 not Montgomery
1286 not Montgomery
1287 small_factor 8
1276 small_factor 5
1288 not Montgomery
1289 not Montgomery
1290 not Montgomery
1291 small_factor 8
1293 not Montgomery
1294 not Montgomery
1295 small_factor 8
1296 not Montgomery
1297 not Montgomery
1292 small_factor 8
1300 not Montgomery
1301 not Montgomery
1302 not Montgomery
1299 not Montgomery
1303 not Montgomery
1305 not Montgomery
1306 not Montgomery
524 small_factor 43
1308 small_factor 8
1309 not Montgomery
1307 not Montgomery
1310 not Montgomery
1311 not Montgomery
1313 not Montgomery
1312 small_factor 8
1315 small_factor 3
1314 small_factor 8
1316 not Montgomery
1318 small_factor 8
1317 small_factor 3
1319 not Montgomery
1320 small_factor 8
1322 not Montgomery
1323 not Montgomery
1324 not Montgomery
1321 not Montgomery
1326 not Montgomery
1325 small_factor 3
1327 small_factor 3
1329 small_factor 8
1328 small_factor 8
1330 not Montgomery
1331 not Montgomery
1332 small_factor 8
1333 not Montgomery
1334 small_factor 8
1336 not Montgomery
1337 not Montgomery
1338 small_factor 8
1335 small_factor 8
1340 not Montgomery
1341 not Montgomery
1342 not Montgomery
1343 not Montgomery
1339 small_factor 8
1345 not Montgomery
1344 not Montgomery
1347 not Montgomery
1298 small_factor 13
1346 not Montgomery
1350 not Montgomery
1351 not Montgomery
1352 not Montgomery
1349 not Montgomery
1353 small_factor 3
1354 not Montgomery
1356 not Montgomery
1355 small_factor 8
1358 not Montgomery
1359 not Montgomery
1360 small_factor 8
1357 small_factor 8
1361 not Montgomery
1362 small_factor 8
1363 not Montgomery
1365 not Montgomery
1366 not Montgomery
1364 small_factor 8
1368 not Montgomery
1369 not Montgomery
1348 small_factor 13
1371 small_factor 8
1372 not Montgomery
1373 not Montgomery
1374 not Montgomery
1375 not Montgomery
1376 not Montgomery
1377 not Montgomery
1378 not Montgomery
1379 not Montgomery
835 small_factor 47
1381 not Montgomery
1382 not Montgomery
1383 not Montgomery
1384 not Montgomery
1385 small_factor 8
1386 small_factor 8
1387 not Montgomery
1388 not Montgomery
1389 not Montgomery
1390 small_factor 3
1391 small_factor 3
1392 small_factor 8
1393 small_factor 8
1394 not Montgomery
1395 small_factor 3
1396 small_factor 5
1397 small_factor 8
1398 not Montgomery
1399 not Montgomery
908 small_factor 47
1401 not Montgomery
1400 small_factor 3
1402 not Montgomery
1403 not Montgomery
1404 not Montgomery
1405 small_factor 8
1406 not Montgomery
1407 not Montgomery
1408 not Montgomery
1409 not Montgomery
1410 not Montgomery
1412 not Montgomery
1411 small_factor 3
1413 not Montgomery
1415 not Montgomery
1416 not Montgomery
1417 not Montgomery
1418 not Montgomery
1414 not Montgomery
1419 not Montgomery
1420 not Montgomery
1041 small_factor 43
1421 small_factor 8
1422 small_factor 8
1423 not Montgomery
1424 small_factor 8
1426 not Montgomery
1427 not Montgomery
1428 small_factor 8
1429 not Montgomery
1431 not Montgomery
1425 small_factor 8
1432 small_factor 8
1430 small_factor 3
1435 not Montgomery
1434 small_factor 3
1437 not Montgomery
1433 not Montgomery
1438 small_factor 8
1439 small_factor 8
1440 small_factor 8
1441 not Montgomery
1436 not Montgomery
1442 not Montgomery
1443 not Montgomery
1446 not Montgomery
1444 small_factor 3
1448 not Montgomery
1447 small_factor 3
1449 not Montgomery
1450 not Montgomery
1445 not Montgomery
1451 not Montgomery
1452 not Montgomery
1454 not Montgomery
1455 not Montgomery
1453 small_factor 3
1456 not Montgomery
1458 not Montgomery
1457 not Montgomery
1460 not Montgomery
1461 small_factor 8
1463 not Montgomery
1459 not Montgomery
1462 small_factor 8
1466 not Montgomery
1464 small_factor 8
1467 small_factor 8
1468 not Montgomery
1465 small_factor 8
1470 not Montgomery
1471 not Montgomery
1469 small_factor 8
1474 small_factor 8
1473 not Montgomery
1475 small_factor 8
1477 not Montgomery
1476 small_factor 3
1479 not Montgomery
1472 small_factor 5
1480 not Montgomery
1481 not Montgomery
1478 small_factor 8
